ID,Aktywny,Nazwa,Kategoria nadrzędna
20,1,Etui do smartwatcha,Do smartfona
21,1,Etui do smartwatcha,Do smartfona
22,1,Paski do smartwatcha,Do smartfona
23,1,Ładowarki i stacje dokujące,Do smartfona
24,1,Etui do smartwatcha,Do tabletu
25,1,Etui do smartwatcha,Do tabletu
26,1,Paski do smartwatcha,Do tabletu
27,1,Ładowarki i stacje dokujące,Do tabletu
28,1,Etui do smartwatcha,Do smartwatcha
29,1,Etui do smartwatcha,Do smartwatcha
30,1,Paski do smartwatcha,Do smartwatcha
31,1,Ładowarki i stacje dokujące,Do smartwatcha
