id,name,active,category,description,net,gross,weight,available
117797,"Etui aramidowe PITAKA Ultra-Slim Case do MagSafe, do iPhone Air, czarne z kevlarem",1,Etui na telefon,"Etui aramidowe PITAKA Ultra-Slim Case Apple iPhone Air Mocna ochrona Twojego telefonu Jeśli marzysz o tym, aby Twój smartfon był jednocześnie lekki jak piórko i chroniony niczym w sejfie, Ultra-Slim Case od renomowanego producenta PITAKA to przemyślana odpowiedź na codzienne wyzwania. To etui łączy wygodę i praktyczność, pozwalając korzystać z telefonu pewnie i bez obaw o drobne zmiany planów bo nawet niespodziewany upadek nie popsuje Ci humoru. Obudowa stworzona z myślą o fanach nowoczesnych technologii zapewnia nie tylko świetny wygląd, ale i skuteczną ochronę każdego dnia. Kolor producenta: Black Grey (czarny z kevlarem) Etui kompatybilne ze szkłami o wymiarach mniejszych niż (długość x szerokość): 15,52 x 7,36 cm Ultracienka obudowa wykonana z aramidu Włókno aramidowe klasy lotniczej? Tak, dobrze czytasz to ten materiał, który jest 5 razy mocniejszy od stali i jednocześnie zaskakująco lekki. Wytrzymała konstrukcja sprawia, że case jest gotowy na wszelkie turbulencje dnia codziennego. Ochronne plecki pozostają niemal niewyczuwalne w dłoni, bo mają mniej niż 1 mm grubości minimalizm, który warto poczuć. Eleganckie etui z myślą o ochronie Dzięki ultra-cienkiemu profilowi ta obudowa subtelnie otula urządzenie, podkreślając jego design i nie zakrywając oryginalnego stylu. Gładka powierzchnia wykończona klasycznym splotem aramidowym to kwintesencja ponadczasowej elegancji. Wytrzymała struktura chroni przed zarysowaniami, więc zapominasz o nieestetycznych śladach codziennego użytkowania. Obudowa kompatybilna z akcesoriami MagSafe Z funkcją MagSafe nie musisz już walczyć z kablami, doczepisz multum akcesoriów. Wsparcie dla bezproblemowego ładowania bezprzewodowego sprawia, że korzystanie z ochronnej obudowy nie utrudnia Ci życia ani trochę. Ergonomiczne dopasowanie zapewnia komfortowy dostęp do wszystkich funkcji smartfona, nawet wtedy, gdy masz wyjątkowo zajęte ręce.",241.46,297,0.2,1
117793,"Etui aramidowe PITAKA Ultra-Slim Case do MagSafe, do iPhone 17 Pro Max, brązowo-czarne",1,Etui na telefon,"Etui aramidowe PITAKA Ultra-Slim Case Apple iPhone 17 Pro Max Mocna ochrona Twojego telefonu Jeśli marzysz o tym, aby Twój smartfon był jednocześnie lekki jak piórko i chroniony niczym w sejfie, Ultra-Slim Case od renomowanego producenta PITAKA to przemyślana odpowiedź na codzienne wyzwania. To etui łączy wygodę i praktyczność, pozwalając korzystać z telefonu pewnie i bez obaw o drobne zmiany planów bo nawet niespodziewany upadek nie popsuje Ci humoru. Obudowa stworzona z myślą o fanach nowoczesnych technologii zapewnia nie tylko świetny wygląd, ale i skuteczną ochronę każdego dnia. Kolor producenta: Sunset (brązowo-czarny) Etui kompatybilne ze szkłami o wymiarach mniejszych niż (długość x szerokość): 16,18 x 7,59 cm Ultracienka obudowa wykonana z aramidu Włókno aramidowe klasy lotniczej? Tak, dobrze czytasz to ten materiał, który jest 5 razy mocniejszy od stali i jednocześnie zaskakująco lekki. Wytrzymała konstrukcja sprawia, że case jest gotowy na wszelkie turbulencje dnia codziennego. Ochronne plecki pozostają niemal niewyczuwalne w dłoni, bo mają mniej niż 1 mm grubości minimalizm, który warto poczuć. Eleganckie etui z myślą o ochronie Dzięki ultra-cienkiemu profilowi ta obudowa subtelnie otula urządzenie, podkreślając jego design i nie zakrywając oryginalnego stylu. Gładka powierzchnia wykończona klasycznym splotem aramidowym to kwintesencja ponadczasowej elegancji. Wytrzymała struktura chroni przed zarysowaniami, więc zapominasz o nieestetycznych śladach codziennego użytkowania. Obudowa kompatybilna z akcesoriami MagSafe Z funkcją MagSafe nie musisz już walczyć z kablami, doczepisz multum akcesoriów. Wsparcie dla bezproblemowego ładowania bezprzewodowego sprawia, że korzystanie z ochronnej obudowy nie utrudnia Ci życia ani trochę. Ergonomiczne dopasowanie zapewnia komfortowy dostęp do wszystkich funkcji smartfona, nawet wtedy, gdy masz wyjątkowo zajęte ręce.",243.09,299,0.2,1
61735,"Etui AlwaySmart TPU Colorful Case do Xiaomi 14, pomarańczowe",1,Etui na telefon,"Etui AlwaySmart TPU Colorful Case Xiaomi 14 Podkreśl styl, zachowując ochronę Etui AlwaySmart Colorful Case wykonane z wysokiej jakości termopoliuretanu, przeznaczone do codziennego użytku przeciw zarysowaniom i zabrudzeniom. Futerał typu plecki, który chroni tył i boki smartfona. To niezwykłe akcesorium nie tylko chroni Twój telefon przed codziennymi zagrożeniami, ale także dodaje mu stylowego uroku. *Przedmiotem sprzedaży jest samo etui, pozostałe akcesoria widoczne na zdjęciach służą jedynie przedstawieniu jego funkcjonalności. Kolor producenta: Orange (pomarańczowe) Etui kompatybilne ze szkłami o wymiarach mniejszych niż (długość x szerokość): 15,06 x 6,96 cm Unikalny design To sztywne i twarde etui oferuje niezrównaną ochronę Twojego smartfona, zapewniając jednocześnie unikalny design. Plecki tego etui wyróżniają się intensywnym kolorem, nadając Twojemu smartfonowi unikalny charakter. Jednocześnie przezroczyste boki pozwalają na zachowanie oryginalnego designu urządzenia, podkreślając jego elegancję. Odpowiednie wycięcia na porty oraz osłony na przyciski zapewniają pełen dostęp do funkcji telefonu, bez konieczności zdejmowania etui. Futerał nie tylko prezentuje nowoczesny design, ale również zabezpiecza smartfon przed zarysowaniami czy zabrudzeniami i zapewnia łatwy montaż. Lekko podniesione krawędzie chronią ekran na płaskich powierzchniach. Bez kompromisów Niezwykle lekki case nie pogrubia znacząco telefonu, zachowując jego oryginalne kształty. Doskonale dopasowany z łatwością zmieści się w kieszeni. Podniesiona krawędź w okolicach aparatu chroni soczewki przed zarysowaniami, nawet gdy umieszczasz telefon na płaskiej powierzchni. To prosta, a zarazem genialna cecha, która dodaje praktyczności i dba o długotrwałą jakość zdjęć. Precyzyjne dopasowanie Jakość wykonania etui alwaySmart TPU Colorful Case jest bezkompromisowa. Sztywna i twarda konstrukcja zapewnia nie tylko efektywne absorbowanie wstrząsów, ale także solidną ochronę przed zarysowaniami i odpryskami. Precyzyjna technologia formowania TPU gwarantuje idealne dopasowanie, nie tylko chroniąc urządzenie, ale także podkreślając jego smukły design.",72.36,89,0.2,1
61729,"Etui AlwaySmart TPU Colorful Case do Xiaomi 14, niebieskie",1,Etui na telefon,"Etui Xiaomi alwaySmart TPU Colorful Case Xiaomi 14 Podkreśl styl, zachowując ochronę Etui alwaySmart Colorful Case wykonane z wysokiej jakości termopoliuretanu, przeznaczone do codziennego użytku przeciw zarysowaniom i zabrudzeniom. Futerał typu plecki, który chroni tył i boki smartfona. To niezwykłe akcesorium nie tylko chroni Twój telefon przed codziennymi zagrożeniami, ale także dodaje mu stylowego uroku. *Przedmiotem sprzedaży jest samo etui, pozostałe akcesoria widoczne na zdjęciach służą jedynie przedstawieniu jego funkcjonalności. Kolor producenta: Mint (niebieskie) Etui kompatybilne ze szkłami o wymiarach mniejszych niż (długość x szerokość): 15,06 x 6,96 cm Unikalny design To sztywne i twarde etui oferuje niezrównaną ochronę Twojego smartfona, zapewniając jednocześnie unikalny design. Plecki tego etui wyróżniają się intensywnym kolorem, nadając Twojemu smartfonowi unikalny charakter. Jednocześnie przezroczyste boki pozwalają na zachowanie oryginalnego designu urządzenia, podkreślając jego elegancję. Odpowiednie wycięcia na porty oraz osłony na przyciski zapewniają pełen dostęp do funkcji telefonu, bez konieczności zdejmowania etui. Futerał nie tylko prezentuje nowoczesny design, ale również zabezpiecza smartfon przed zarysowaniami czy zabrudzeniami i zapewnia łatwy montaż. Lekko podniesione krawędzie chronią ekran na płaskich powierzchniach. Bez kompromisów Niezwykle lekki case nie pogrubia znacząco telefonu, zachowując jego oryginalne kształty. Doskonale dopasowany z łatwością zmieści się w kieszeni. Podniesiona krawędź w okolicach aparatu chroni soczewki przed zarysowaniami, nawet gdy umieszczasz telefon na płaskiej powierzchni. To prosta, a zarazem genialna cecha, która dodaje praktyczności i dba o długotrwałą jakość zdjęć. Precyzyjne dopasowanie Jakość wykonania etui alwaySmart TPU Colorful Case jest bezkompromisowa. Sztywna i twarda konstrukcja zapewnia nie tylko efektywne absorbowanie wstrząsów, ale także solidną ochronę przed zarysowaniami i odpryskami. Precyzyjna technologia formowania TPU gwarantuje idealne dopasowanie, nie tylko chroniąc urządzenie, ale także podkreślając jego smukły design.",72.36,89,0.2,7
102433,"Etui Guess Hardcase 4G Classic do iPhone Air, czarne",1,Etui na telefon,"Etui Guess Hardcase 4G Classic Apple iPhone Air Eleganckie wykończenie etui Amerykańska firma Guess od wielu lat jest utożsamiania z bardzo dobrą jakością i oryginalnym wzornictwem. Etui z kolekcji 4G Classic wyprodukowane przez firmę CG Mobile na oficjalnej licencji marki Guess jest pozycją dla osób ceniących sobie klasykę i styl. Zaprojektowane z wyjątkową starannością o szczegóły. Wykonane z połączenia twardego, lecz przyjemnego w dotyku poliwęglanu na pleckach oraz elastycznego termopoliuretanu, z którego wykonana została ramka. Pokryte materiałową fakturą Saffiano, która nadaje luksusowego wyglądu. Kolor producenta: Black (czarny) Etui kompatybilne ze szkłami o wymiarach mniejszych niż (dług.szer.): 15,38 x 7,23 Ochrona tyłu i boków telefonu Etui nie tylko wygląda stylowo, ale także doskonale chroni Twój telefon. Elastyczne boki ułatwiają montaż i zapewniają ochronę przed uderzeniami, a podniesione krawędzie zabezpieczają ekran i aparat przed zarysowaniami. W pełni funkcjonalna obudowa Precyzyjne wycięcia zapewniają pełen dostęp do interfejsów i portów, bezpiecznie leżąc w dłoni. Staranne wykończenie oraz zintegrowane osłony przycisków utrzymują nowoczesny i minimalistyczny design. Case pewnie leży w dłoni oraz łatwo się zakłada. Przyjemne dla oka dodatki Ta elegancka kolekcja zachwyci nawet najbardziej wyrafinowane gusta. Wierzchnia warstwa etui jest pokryta delikatną ekoskórą, ozdobioną printem 4G, nadając jej wyjątkowego charakteru i elegancji. Dodatkowym elementem jest piękna złota naszywka z logiem marki Guess, stanowiąca dowód doskonałej jakości i autentyczności produktów, za które odpowiada ta renomowana marka.",113.01,139,0.2,7
118004,"OUTLET: Rysik Baseus Smooth Writing 2 Overseas z ładowaniem indukcyjnym do iPad / iPad Pro / iPad Air / Mini (2018-2022), biały",1,Rysik do telefonu,"ℹ Produkt pochodzi z outletu!Na aukcji kupujesz produkt, który nie kwalifikuje się do sprzedaży jako pełnowartościowy z powodu uszkodzonego lub rozpakowanego opakowania, dlatego oferujemy go w obniżonej cenie!Każdy produkt jest sprawdzony i w pełni sprawny, posiada pełną gwarancję producenta oraz wsparcie techniczne sklepu.OUT_2512110041Rysik Baseus Smooth Writing 2 Series Magnetic Wireless Charging Apple iPad Pro 12,9 6 gen. 2022 (A2436, A2764, A2437, A2766)Apple iPad Pro 12,9 5 gen. 2021 (A2378, A2461, A2379, A2462)Apple iPad Pro 12,9 4 gen. 2020 (A2229, A2069, A2232, A2233)Apple iPad Pro 12,9 3 gen. 2018 (A1876, A1983, A1895, A2014)Apple iPad Pro 11 4 gen. 2022 (A2759, A2435, A2761, A2762)Apple iPad Pro 11 3 gen. 2021 (A2377, A2459, A2301, A2460)Apple iPad Pro 11 2 gen. 2020 (A2228, A2068, A2230, A2231)Apple iPad Pro 11 1 gen. 2018 (A1980, A2013, A1934, A1979)Apple iPad Air 10,9 5 gen. 2022 (A2588, A2589, A2591)Apple iPad Air 10,9 4 gen. 2020 (A2316, A2324, A2325, A2072)Apple iPad Mini 8.3 6 gen. 2021 (A2567, A2568, A2569) Jeszcze płynniej i przyjemniej Firma Baseus stworzyła rysik do jeszcze przyjemniejszej i niezwykle gładkiej obsługi iPada. Możesz pisać, rysować, czy szkicować bez żadnych zmiennych zakłócających, rysik popłynie idealnie po ekranie, zostawiając doskonale równy ślad po sobie. Kontrola poziomu baterii - Dioda LED określająca poziom naładowania Materiał: ABS PC Bateria: 125mAh W zestawie: 1x rysik, 1x końcówka rysika (aktywna), instrukcja obsługi Wymiary rysika: 166 x 9 mm Waga: 12,5 g Kolor producenta: White (biały) Korzystaj, jak Ci wygodnie Cała konstrukcja jest trwała i solidna, wykonana z połączenia stopu aluminium i miedzianej końcówki. Urządzenie wspiera funkcję Palm rejection, czyli ignorowanie dłoni - zapobiega przypadkowemu rysowaniu lub interakcji palców lub dłoni z ekranem podczas korzystania z rysika. Dzięki temu użytkownik może swobodnie oprzeć dłoń na ekranie, aby uzyskać stabilne oparcie podczas pisania lub rysowania, bez obawy o przypadkowe interakcje. Długa praca na baterii W pełni naładowany rysik pozwala nawet na 10 godzin ciągłej pracy. Bateria o pojemności 125mAh w stanie czuwania wytrzymuje 12 miesięcy. Ładowanie odbywa się za pośrednictwem ładowania bezprzewodowego. Czas użytkowania: 10 godzin ciągłego użytkowania przy pełnym naładowaniu Czas czuwania: 12 miesięcy z w pełni naładowany Czas ładowania bezprzewodowo: 1 godzina Magnetyczne mocowanie Kształt i niska waga sprawiają, że korzystanie z rysika jest wygodne i przyjemne. Za sprawą magnetycznej obudowy zawsze jest pod ręką, a ryzyko, że się zgubi - spada niemal do zera. Zaraz po wyjęciu z opakowania jest gotowy do użytku bez konieczności instalowania aplikacji. Łatwe łączenie Diody LED pokazują stan naładowania baterii: dioda LED określa poziom naładowania: niebieska: 100-70, zielona: 70-30, czerwona: poniżej 30, pulsująca czerwona: potrzeba naładowania.",83.9,103.2,0.2,2
60055,"Uniwersalny, wielofunkcyjny klips na smartfona Apexel APL-F001",1,"Obiektyw, teleskop do telefonu","Wielofunkcyjny klips do mocowania akcesoriów Apexel APL-F001 Uniwersalne Twój pomocnik w mobilnej fotografii Apexel F001 to doskonały dodatek do fotografii mobilnej, który umożliwia połączenie obiektywu lub teleskopu z Twoim smartfonem do fotografowania. Nie musisz się martwić, że klips zakryje lub uszkodzi ekran smartfona. Dzięki grubszym podkładkom silikonowym po obu stronach, zaciskuje, ale nie uszkadza ekranu Twojego smartfona. Dodatkowo, wyprofilowany design silikonowy skutecznie zapobiega przypadkowemu naciskaniu przycisków na telefonie. Wyposażony jest w gwint 14 oraz mocowanie cold shoe (zimna stopka) na dodatkowe akcesoria, dodając praktyczne funkcje do Twoich działań fotograficznych. Apexel APL-F001 to wielofunkcyjny klips o wysokiej kompatybilności. Świetnie współpracuje z takimi modelami jak iPhone 15 15 Pro 15 Pro Max, iPhone 14 14 Pro 14 Pro Max, Samsung Galaxy, Google Pixel, Huawei, OnePlus itp. Idealnie współpracuje z obiektywami Apexel, jak obiektyw makro 100mm, obiektyw 30X, 20-40X, 28X, obiektyw telefoto 60X, itp. Wymiary produktu: 86 x 60.5 x 26 mm Maksymalna szerokość mocowania smartfona: 66 - 95 mm *Przedmiotem sprzedaży jest sam klips, pozostałe akcesoria widoczne na zdjęciach służą jedynie przedstawieniu jego funkcjonalności. Kolor producenta: Black (czarny) Stabilność na pierwszym miejscu Apexel F001 został wyposażony w uniwersalny gwint 14 cala, umożliwiający łatwe zamocowanie na tripodzie lub innym statywie, co znacząco podnosi stabilność podczas fotografowania. Ten innowacyjny adapter obiektywu do telefonu jest specjalnie zaprojektowany dla obiektywów lub filtrów z gwintem 17 mm, co umożliwia pasjonatom fotografii komórkowej uzyskiwanie doskonalszych wrażeń fotograficznych. Gwint ten powinien być skierowany w stronę głównego obiektywu urządzenia. Dodatkowo w klipsie umiejscowiona jest podkładka silikonowa, która sprawia, że twój smartfon jest bezpieczny i nie uszkodzi się od zacisku klipsa. Możliwość mocowania wielu akcesoriów Dzięki temu wielofunkcyjnemu klipsowi Apexel APL-F001 możesz podłączyć wiele akcesoriów, które umożliwią ci wykonywanie mobilnej fotografii na najwyższym poziomie. Pozwala on na mocowanie obiektywów, statywów, mikrofonów, oświetlenia i wielu innych akcesoriów. To wszystko dzięki portom cold shoe znajdującym się w po lewej i prawej stronie klipsa. Uniwersalność i doskonałe dopasowanie W zestawie znajdziesz podkładki EVA o grubościach 2mm, 3mm i 4mm. Możesz ich użyć w przypadku, gdy obiektyw aparatu telefonu jest umiejscowiony za wysoko lub wystaje zbyt mocno. Wystarczy, że przykleisz je w wewnętrznej stronie klipsa, aby wypełnić lukę na plecach telefonu i zrównać ją z kamerą. To sprawia, że Apexel APL-F001 jest niesamowicie uniwersalny i może współpracować z większością smartfonów dostępnych na rynku.",47.97,59,0.3,7
61758,"Kontroler do mobilnego grania Backbone One PlayStation Edition, USB-C, biały",1,Pad do telefonu,"Produkt oficjalnie licencjonowany przez PlayStation Kontroler Pad Backbone One PlayStation dla urządzeń z wejściem USB-C z Androidem oraz iPhone z wejściem USB-C Ergonomia spotyka innowację Zanurz się w niezrównane doznania z Backbone One kontrolerem PlayStation do telefonu, który jest mistrzowskim dziełem ergonomii i innowacji. Zapomnij o ograniczeniach tradycyjnych kontrolerów Backbone One został zaprojektowany z myślą o twoim komforcie i zadowoleniu z gry. Jego starannie wyprofilowana forma idealnie leży w dłoniach, oferując ultra szerokie analogowe spusty, które zaspokoją nawet najbardziej wymagających graczy. Dzięki klikalnym drążkom, wyjątkowo czułemu D-pad oraz przyciskom funkcyjnym, każda akcja staje się intuicyjna i precyzyjna. Kompaktowa budowa kontrolera gwarantuje, że będziesz mógł zabrać swoją ulubioną rozrywkę wszędzie ze sobą. Przedmiotem sprzedaży jest sam pad, pozostałe akcesoria widoczne na zdjęciach służą jedynie przedstawieniu jego funkcjonalności. Kolor producenta: White (biały) Niezakłócona rozrywka Backbone One wyposażono w gniazdo słuchawkowe, co pozwala na całkowite zanurzenie się w świat gier, bez zewnętrznych rozpraszaczy. Podłącz swój ulubiony zestaw słuchawkowy i ciesz się krystalicznie czystym dźwiękiem, który przeniesie Cię prosto do centrum akcji. Kontroler z gniazdem słuchawkowym to gwarancja, że żaden detal dźwiękowy nie umknie Twojej uwadze. Zawsze gotowy do akcji Kontroler redefiniuje pojęcie mobilnej rozgrywki, eliminując potrzebę posiadania baterii. Dzięki inteligentnemu wykorzystaniu portu USB-C, kontroler nie tylko łączy się z Twoim telefonem, ale również pozwala na pasywne ładowanie podczas gry. To rozwiązanie zapewnia nieprzerwane sesje rozgrywki, bez konieczności martwienia się o poziom naładowania. Dodatkowo, pad oferuje funkcję nagrywania rozgrywki i robienia zrzutów ekranu, co umożliwia łatwe dzielenie się Twoimi osiągnięciami z przyjaciółmi. Ciesz się grą bez przerywania na ładowanie, aktualizacje czy konfigurację po prostu graj. Specyfikacja warta uwagi! Kontroler jest kompatybilny z większością telefonów wyposażonych w złącze USB-C, w tym z urządzeniami marki Apple, Samsung, Google i wielu innych. Jego składana konstrukcja nie tylko ułatwia transport, ale również dostosowuje się do różnych rozmiarów telefonów. Dzięki wymiarom i wadze idealnie wyważonym pod kątem mobilności, kontroler jest prawdziwym towarzyszem każdego gracza. Z Backbone One, Twoja podróż do świata mobilnych gier nabiera zupełnie nowego wymiaru. Niezależnie od tego, czy jesteś zapalonym graczem, czy dopiero rozpoczynasz swoją przygodę, ten kontroler otwiera przed Tobą drzwi do nieograniczonych możliwości rozrywki. Przygotuj się na przełom w mobilnym gamingu. Pracuje z iPhone i Android posiadające wejście USB-C Posiada certyfikat Made for iPhone, Works with android",486.99,599,0.2,1
97844,"Statyw / selfie stick / monopod 3w1, Joby Telepod Mobile do smartfonów, czarny",1,Statyw do telefonu,"Statyw Joby Telepod Mobiledo smartfonów, kamer sportowych, bezlusterkowcówWszechstronne zastosowanieStatyw Joby Telepod Mobile to doskonałe narzędzie dla osób, które szukają mobilności w fotografii. Dzięki swojej konstrukcji, statyw może być używany jako selfie stick, monopod, wysoki statyw lub statyw stołowy, co zapewnia maksymalną wszechstronność w różnych sytuacjach. Waga udźwigu wynosząca do 325 gramów umożliwia mocowanie nie tylko smartfonów, ale również innych akcesoriów. Regulowana klamra do smartfona jest kompatybilna z większością modeli dostępnych na rynku, co czyni ten statyw uniwersalnym rozwiązaniem dla każdego użytkownika. Kolor producenta: Czarny W zestawie: telepod z głowicą kulową, klamra do smartfonów, pilot do zdalnego wyzwalania migawki w smartfonie, instrukcja obrazkowaKonstrukcja teleskopowaStatyw Joby Telepod Mobile charakteryzuje się teleskopową konstrukcją, która pozwala na dostosowanie wysokości w zakresie od 19 do 61 centymetrów. Tak szeroki zakres daje możliwość zrobienia zdjęć w różnych perspektywach. Stabilność zapewniają trzy nóżki pokryte gumą, które gwarantują pewny chwyt na różnych powierzchniach. Głowica kulowa umożliwia łatwą regulację kątów nachylenia, co jest nieocenione w przypadku nagrywania materiałów wideo lub robienia zdjęć z nietypowych pozycji. Joby Telepod Mobile jest narzędziem, które każdy twórca powinien mieć w swojej torbie pełnej akcesoriów fotograficznych.Łatwość użytkowaniaStatyw został stworzony z myślą o maksymalnej wygodzie użytkowania. W zestawie znajduje się pilot Bluetooth, który umożliwia zdalne wyzwalanie migawki w telefonie. Pilot Bluetooth ma zasięg do 30 metrów, jest kompatybilny z systemami iOS i Android nie trzeba instalować dodatkowej aplikacji. Niezależnie regulowane nogi zapobiegają niepożądanym ruchom i zapewniają stabilność, nawet gdy statyw jest używany jako uchwyt do selfie. Wykonanie z materiałów takich jak stal, TPE i ABS zapewnia trwałość i odporność na uszkodzenia. Przenośny towarzysz twórcyDzięki kompaktowym wymiarom i niskiej wadze, Statyw Joby Telepod Mobile jest łatwy do transportu i idealny do zabrania w podróż. Po złożeniu osiąga jedynie 19 centymetrów, co czyni go doskonałym towarzyszem dla osób podróżujących. Może być stosowany zarówno w plenerze, jak i wewnątrz pomieszczeń, co czyni go wszechstronnym akcesorium do tworzenia treści. Joby Telepod Mobile pozwala na uchwycenie wyjątkowych chwil w każdej sytuacji, co czyni go niezbędnym narzędziem dla każdego twórcy.Dane techniczne Typ produktu: Telepod Wolnostojący: Tak Elastyczny statyw tripod: Nie Typ głowicy: kulowa Szybkozłączka: Nie Materiał: Stal, TPE, ABS Mocowanie: Gwint męski 14 Przeznaczenie: Smartfon, kamera sportowa, bezlusterkowiec Udźwig max: 325 g Waga produktu (g): 190 Wysokość max (cm): 61 Wysokość min (cm): 19 Długość po złożeniu (cm): 19 Uchwyt: Klamra do smartfonów o szerokości od 56 do 90 mm Gniazdo zimnej stopki: Nie",182.93,225,0.2,1
56902,"Uchwyt samochodowy magnetyczny iOttie Velox Mini MagSafe do iPhone na kratkę, czarny",1,Uchwyt na telefon,"Uchwyt iOttie Velox Mini MagSafe Magnetic Wireless Air Vent Mount Dla serii Apple iPhone z MagSafe Funkcjonalność i wygoda - uchwyt i ładowarka Magnetyczny uchwyt samochodowy iOttie Velox Mini MagSafe Magnetic Wireless z bezprzewodowym szybkim ładowaniem przeznaczony dla iPhoneów i etui kompatybilnych z technologią MagSafe. Umieść urządzenie na uchwycie i gotowe, dopasuje się na swoim miejscu, w idealnej linii. Szybkie bezprzewodowe ładowanie do 7,5W Mocny chwyt magnetyczny - trzyma stabilnie urządzenie Silikonowe widełki dla bezpiecznego montażu w kratce wentylacyjnej Wbudowany przewód USB-C Kolor producenta: Czarny Uchwyt kompatybilny z serią iPhone 12 i nowszymi ilub z etui kompatybilnymi z technologią MagSafe. Szybkie i łatwe dostarczanie energii Możesz szybko i wygodnie korzystać z ładowarki bez zbędnych kabli. 7,5W mocy wystarcza, aby Twój smartfon był w pełni zasilany podczas podróży. Instalacja w kratce nawiewu Łatwo zainstaluj Velox Mini, przesuwając widełki na blaszkę nawiewu w twoim pojeździe, gdzie silikonowe uchwyty zapobiegają jego zsunięciu się. Super mocny zawias pozwala dostosować uchwyt do optymalnej i bezpiecznej pozycji widzenia podczas jazdy. Szereg otworów wentylacyjnych umieszczonych wokół uchwytu pomaga w rozpraszaniu ciepła i utrzymaniu przepływu powietrza. Regulowany kąt widzenia Trwały i mocny przegub kulowy obraca uchwyt Velox Mini z trybu poziomego do pionowego. Szybko i prosto znajdź najwygodniejszy kąt widzenia.",243.09,299,0.2,4
